dari_term,english_term,latin_term,abbreviation,preferred_form,forbidden_forms,accepted_variants,source_authority,usage_notes,first_appearance,decision,confidence
گرهٔ رانویه,Node of Ranvier,,,گرهٔ رانویه (Node of Ranvier),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Composed of canonical گرهٔ + the established name رانویه. The unmyelinated gap between two myelinating cells where saltatory conduction occurs.,Ch11,COMMON AFGHAN TRANSLITERATION,MEDIUM
سیناپس,Synapse,,,سیناپس (Synapse),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; the junction between two neurons or a neuron and an effector cell.,Ch11,COMMON AFGHAN TRANSLITERATION,MEDIUM
سیناپسِ کیمیاوی,Chemical synapse,,,سیناپسِ کیمیاوی (Chemical synapse),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Composed of the canonical سیناپس + the canonical adjective کیمیاوی (the established Afghan form for chemical).,Ch11,COMMON AFGHAN TRANSLITERATION,MEDIUM
نوروترانسمیتر,Neurotransmitter,,,نوروترانسمیتر (Neurotransmitter),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; the chemical messenger released at a chemical synapse.,Ch11,COMMON AFGHAN TRANSLITERATION,MEDIUM
جسمِ نیسل,Nissl body,,,جسمِ نیسل (Nissl body),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Composed of the ordinary word جسم + the established name نیسل. Stacks of rough ER in the neuronal perikaryon.,Ch11,COMMON AFGHAN TRANSLITERATION,MEDIUM
نوروفیلامنت,Neurofilament,,,نوروفیلامنت (Neurofilament),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; the intermediate filament of neurons.,Ch11,COMMON AFGHAN TRANSLITERATION,MEDIUM
مادهٔ خاکستری,Gray matter,,,مادهٔ خاکستری (Gray matter),,,Afghan institutional usage: MoPH publications / Afghanistan health sector documents / Afghan hospitals and Afghan medical-faculty material,"Composed of canonical مادهٔ + the ordinary word خاکستری (already used in Ch4). Neuronal cell bodies, dendrites and synapses.",Ch11,AFGHAN STANDARD,MEDIUM
مادهٔ سفید,White matter,,,مادهٔ سفید (White matter),,,Afghan institutional usage: MoPH publications / Afghanistan health sector documents / Afghan hospitals and Afghan medical-faculty material,Composed of canonical مادهٔ + the ordinary word سفید. Myelinated axons and glial cells.,Ch11,AFGHAN STANDARD,MEDIUM
نخاع,Spinal cord,,,نخاع (Spinal cord),,,Afghan institutional usage: MoPH publications / Afghanistan health sector documents / Afghan hospitals and Afghan medical-faculty material,Ordinary Dari word for the spinal cord.,Ch11,AFGHAN STANDARD,MEDIUM
الیافِ عصبی,Nerve fibres,,,الیافِ عصبی (Nerve fibres),,,Afghan institutional usage: MoPH publications / Afghanistan health sector documents / Afghan hospitals and Afghan medical-faculty material,Composed of الیاف (already used in Ch1) + the ordinary adjective عصبی.,Ch11,AFGHAN STANDARD,MEDIUM
عصبِ محیطی,Peripheral nerve,,,عصبِ محیطی (Peripheral nerve),,,Afghan institutional usage: MoPH publications / Afghanistan health sector documents / Afghan hospitals and Afghan medical-faculty material,Composed of the ordinary words عصب + محیطی (already canonical in Ch4). A bundle of nerve fibres with its connective tissue sheaths.,Ch11,AFGHAN STANDARD,MEDIUM
اندونوریوم,Endoneurium,,,اندونوریوم (Endoneurium),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; the connective tissue sheath around each individual nerve fibre.,Ch11,COMMON AFGHAN TRANSLITERATION,MEDIUM
پرینوریوم,Perineurium,,,پرینوریوم (Perineurium),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; the connective tissue sheath around each nerve fascicle.,Ch11,COMMON AFGHAN TRANSLITERATION,MEDIUM
اپینوریوم,Epineurium,,,اپینوریوم (Epineurium),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; the connective tissue sheath around the whole nerve.,Ch11,COMMON AFGHAN TRANSLITERATION,MEDIUM
حاجزِ خون-مغز,Blood-brain barrier,,,حاجزِ خون-مغز (Blood-brain barrier),,,Afghan institutional usage: MoPH publications / Afghanistan health sector documents / Afghan hospitals and Afghan medical-faculty material,"Composed of established Dari terms: حاجز (a barrier, as in the haemostatic barrier sense) + the ordinary words خون and مغز.",Ch11,AFGHAN STANDARD,MEDIUM
شبکهٔ کوروئید,Choroid plexus,,,شبکهٔ کوروئید (Choroid plexus),,,Afghan institutional usage: MoPH publications / Afghanistan health sector documents / Afghan hospitals and Afghan medical-faculty material,Composed of canonical شبکهٔ + the established transliteration کوروئید. The ependymal-plus-capillary structure that secretes cerebrospinal fluid.,Ch11,COMMON AFGHAN TRANSLITERATION,MEDIUM
مایعِ دماغی-نخاعی,Cerebrospinal fluid (CSF),,CSF,مایعِ دماغی-نخاعی (Cerebrospinal fluid (CSF)),,,Afghan institutional usage: MoPH publications / Afghanistan health sector documents / Afghan hospitals and Afghan medical-faculty material,Composed of established Dari terms; مایع (as in مایعِ خارج‌حجروی) + دماغی-نخاعی. The fluid of the ventricles and subarachnoid space.,Ch11,AFGHAN STANDARD,MEDIUM
غلافِ معدومِ میلین,Unmyelinated,,,غلافِ معدومِ میلین (Unmyelinated),,,Afghan institutional usage: MoPH publications / Afghanistan health sector documents / Afghan hospitals and Afghan medical-faculty material,Descriptive Dari phrase: a fibre without a myelin sheath.,Ch11,AFGHAN STANDARD,MEDIUM
عصبِ‌زخمِ محیطی,Peripheral nerve injury,,,عصبِ‌زخمِ محیطی (Peripheral nerve injury),,,Afghan institutional usage: MoPH publications / Afghanistan health sector documents / Afghan hospitals and Afghan medical-faculty material,Descriptive Dari phrase used in the clinical section.,Ch11,AFGHAN STANDARD,MEDIUM
دژنراسیون والرین,Wallerian degeneration,,,دژنراسیون والرین (Wallerian degeneration),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; degeneration of the distal axon segment after nerve injury.,Ch11,COMMON AFGHAN TRANSLITERATION,MEDIUM
مرضِ مالتیپل اسکلروزیس,Multiple sclerosis,,MS,مرضِ مالتیپل اسکلروزیس (Multiple sclerosis),,,Afghan institutional usage: MoPH publications / Afghanistan health sector documents / Afghan hospitals and Afghan medical-faculty material,"Composed of the established Dari مرض + the international term, which is what clinical practice uses. Autoimmune demyelination of the central nervous system.",Ch11,ENGLISH RETAINED,MEDIUM
پارکینسون,Parkinson disease,,,پارکینسون (Parkinson disease),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; degeneration of dopaminergic neurons of the substantia nigra.,Ch11,COMMON AFGHAN TRANSLITERATION,MEDIUM
الصاقِ عصبی,Nervous tissue repair,,,الصاقِ عصبی (Nervous tissue repair),,,Afghan institutional usage: MoPH publications / Afghanistan health sector documents / Afghan hospitals and Afghan medical-faculty material,Descriptive Dari phrase for the regeneration section.,Ch11,AFGHAN STANDARD,LOW
ارگانل,Organelle,,,ارگانل (Organelle),,اندامک;اندامک‌ها;اندامک‌های;اندامکی;اندامکِ,"Afghan MoE textbook, Biology Grade 7 (moe.gov.af, Kabul, 1398 h.s.) — «ساختمان‌های کوچکی … به‌نام اعضاچه یا ارگانل (Organelle) حجره یاد شده»","CANONICAL (owner decision, locked): ارگانل, because the official Afghan MoE Grade-7 biology textbook introduces the concept with that form (with the Dari descriptor اعضاچه). اندامک is ALSO in Afghan use — TolAfghan, «فزیولوژی حجره» (tolafghan.com/posts/30498): «به اجزای درون حجره اندامک گفته می‌شود» — so it is recorded as ACCEPTED AFGHAN VARIANT and is deliberately NOT on the prohibited list. ارگانل remains the book's canonical form and the one used in the text.",Ch1; Ch2; Ch3; Ch5,AFGHAN STANDARD,HIGH
نیورون,Neuron,,,نیورون (Neuron),نورون;نورون‌ها;نورون‌های;نورونی,,"Afghan MoE textbook, Science Grade 12 (moe.gov.af) — «نیورون دوم سیناپسی را بیشتر تحریک کنند»، «نیورون های حرکي»","Recovered in pass 3. نورون was the Iranian form used by the first draft; the official Afghan Grade-12 science textbook writes نیورون consistently. This also matches the Afghan transliteration pattern of a prosthetic vowel (cf. ایون, انزایم, استروئید). نورون is now forbidden. [NON-CANONICAL: نورون;نورون‌ها]",Ch2; Ch3,AFGHAN STANDARD,HIGH
